rank,name,url,digitalVisibilityScore,speed,technical,local,visibility,ai,content
1,Greek on the Docks,https://www.greekonthedocks.co.uk/welcome/,68,79,88,99,15,60,33
2,Hatherley Manor Hotel & Spa,http://www.hatherleymanor.com/,64,54,100,94,28,0,100
3,Nala Restaurant,https://nalarestaurantuk.com/,62,74,100,100,0,0,67
4,Portivo Lounge,https://thelounges.co.uk/portivo/,62,81,88,98,35,0,33
5,Gloucester Food Dock,https://www.gloucesterfooddock.co.uk/,61,58,100,90,54,20,0
6,Karak Chaii Gloucester,https://www.karakchaii.co.uk/,58,75,100,97,0,0,33
7,The Lock Keepers,http://www.thelockkeepers.co.uk/,58,74,100,96,6,0,33
8,Five Guys Burgers and Fries Gloucester Quays,https://restaurants.fiveguys.co.uk/south-west/r11-gloucester-quays-outlet,56,88,88,89,0,0,33
9,Burger Boi - Gloucester,https://burgerboi.co.uk/,55,90,75,93,0,0,33
10,Pepe's,https://pepes.co.uk/pepes-piri-piri-stores/#!/l/gloucester/144-eastgate-street/4609439,55,77,100,97,0,0,0
11,Café René,http://www.caferene.co.uk/,54,68,100,98,4,0,0
12,Poppins,http://www.poppinsrestaurants.co.uk/,54,91,75,82,4,0,33
13,The Linden Tree,https://gloucesterpartnership.org.uk/business/the-linden-tree/,54,69,100,84,0,0,33
14,Eat Unique,http://eat-unique.uk/,53,65,100,47,29,0,67
15,Royal Oak,https://www.hungryhorse.co.uk/pubs/gloucestershire/royal-oak?utm_source=g_places&utm_medium=locations&utm_campaign=HH_pubpage,53,56,88,96,8,0,33
16,The New Dawn Inn,http://newdawninn.co.uk/,53,70,100,96,0,0,0
17,Hare & Hounds,https://www.greeneking.co.uk/pubs/gloucestershire/hare-and-hounds?utm_source=g_places&utm_medium=locations&utm_campaign=PL_pubpage,52,55,88,96,8,0,33
18,Roots + Seeds Cafe Kitchen Gloucester Food Docks,https://www.rootsandseedskitchengarden.co.uk/,52,55,88,98,4,0,33
19,Farmhouse Deli,http://www.farmhousedeli.co.uk/,51,70,100,84,0,0,0
20,Fly Wingz,https://flywingz.co.uk/,51,85,75,93,0,0,0
21,Chuck Burgers,https://www.chuckburgerbar.com/,50,81,75,94,0,0,0
22,Indian Memories,http://www.indianmemories.co.uk/,50,61,75,97,0,0,33
23,GO SPICE,https://gospice.co.uk/,49,76,75,94,0,0,0
24,Brimble's Cafe,http://www.brimblescafe.co.uk/,48,65,63,94,0,0,33
25,The Old Elm Inn,http://www.theoldelminn.co.uk/,48,68,75,98,0,0,0
26,Bombay Mix,https://bombaymixtuffley.co.uk/,47,100,57,76,0,0,0
27,Côte Gloucester,https://www.cote.co.uk/restaurant/gloucester/?utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business?utm_source=extnet&utm_medium=yext,47,68,75,78,0,20,0
28,Friar Tucks,http://www.thefriartucks.co.uk/,46,75,63,91,0,0,0
29,Golden City,http://www.goldencitychurchdown.co.uk/,46,74,75,80,0,0,0
30,Banchina Italian,https://banchina.co.uk/,45,61,43,97,13,0,33
31,Seymour Fryer,https://seymourfryer.co.uk/,45,65,75,86,0,0,0
32,Tara,https://hatton-court.co.uk/eating-drinking-restaurants-gloucester-cotswolds/,45,59,100,67,0,0,0
33,NepaleseChef,http://www.nepalesechef.co.uk/,44,60,43,98,0,0,33
34,Coney Hill Fish & Chips,http://coneyhillfishandchips.co.uk/,43,68,50,82,0,0,33
35,Khans Kebabs & Grill,https://khanskebab.co.uk/,43,57,75,85,0,0,0
36,Nineteen at Brickhampton,https://www.brickhampton.co.uk/nineteenatbrickhampton,43,84,63,68,0,0,0
37,Spice Master,https://thespicemaster.co.uk/,43,57,75,82,0,0,0
38,The Victoria Hotel,http://www.victoriainnhucclecote.co.uk/,43,62,75,80,0,0,0
39,Moft Caffe,http://www.moftcaffe.com/,40,100,0,80,0,0,
40,Olympian Bites,http://olympianbites.co.uk/,39,100,0,75,0,0,
41,Saeeds,https://www.saeedbaltihouse.co.uk/,33,60,0,88,0,0,
42,Tim Hortons - Gloucester,https://www.timhortons.co.uk/,27,,0,95,0,0,
43,Dough from dough (events only),http://www.doughfromdough.com/,22,,0,77,0,0,
44,TANK,http://www.tankgloucester.co.uk/,21,,0,75,0,0,
